,timesteps,units,numerical units,dropout,learning_rate,cnn_filter,cnn_kernel,cnn_pool,f1_score,threshold,best_report,confusion_matrix
0,10,128,8,0.2,0.001,64,2,2,0.4,0.5,"{'0': {'precision': 0.3783783783783784, 'recall': 0.7368421052631579, 'f1-score': 0.5, 'support': 19.0}, '1': {'precision': 0.5454545454545454, 'recall': 0.20689655172413793, 'f1-score': 0.3, 'support': 29.0}, 'accuracy': 0.4166666666666667, 'macro avg': {'precision': 0.4619164619164619, 'recall': 0.4718693284936479, 'f1-score': 0.4, 'support': 48.0}, 'weighted avg': {'precision': 0.4793202293202293, 'recall': 0.4166666666666667, 'f1-score': 0.37916666666666665, 'support': 48.0}}","[[14  5]
 [23  6]]"
1,10,128,8,0.2,0.001,64,2,3,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
2,10,128,8,0.2,0.001,64,3,2,0.3212121212121212,0.5,"{'0': {'precision': 0.40425531914893614, 'recall': 1.0, 'f1-score': 0.5757575757575758, 'support': 19.0}, '1': {'precision': 1.0, 'recall': 0.034482758620689655, 'f1-score': 0.06666666666666667, 'support': 29.0}, 'accuracy': 0.4166666666666667, 'macro avg': {'precision': 0.7021276595744681, 'recall': 0.5172413793103449, 'f1-score': 0.3212121212121212, 'support': 48.0}, 'weighted avg': {'precision': 0.7641843971631205, 'recall': 0.4166666666666667, 'f1-score': 0.2681818181818182, 'support': 48.0}}","[[19  0]
 [28  1]]"
3,10,128,8,0.2,0.001,64,3,3,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
4,10,128,8,0.2,0.001,64,5,2,0.3445378151260504,0.5,"{'0': {'precision': 0.1111111111111111, 'recall': 0.05263157894736842, 'f1-score': 0.07142857142857142, 'support': 19.0}, '1': {'precision': 0.5384615384615384, 'recall': 0.7241379310344828, 'f1-score': 0.6176470588235294, 'support': 29.0}, 'accuracy': 0.4583333333333333, 'macro avg': {'precision': 0.32478632478632474, 'recall': 0.3883847549909256, 'f1-score': 0.3445378151260504, 'support': 48.0}, 'weighted avg': {'precision': 0.36930199430199434, 'recall': 0.4583333333333333, 'f1-score': 0.40143557422969195, 'support': 48.0}}","[[ 1 18]
 [ 8 21]]"
5,10,128,8,0.2,0.001,64,5,3,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
6,10,128,8,0.2,0.001,128,2,2,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
7,10,128,8,0.2,0.001,128,2,3,0.37662337662337664,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
8,10,128,8,0.2,0.001,128,3,2,0.37662337662337664,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
9,10,128,8,0.2,0.001,128,3,3,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
10,10,128,8,0.2,0.001,128,5,2,0.5104212860310421,0.5,"{'0': {'precision': 0.4444444444444444, 'recall': 0.8421052631578947, 'f1-score': 0.5818181818181818, 'support': 19.0}, '1': {'precision': 0.75, 'recall': 0.3103448275862069, 'f1-score': 0.43902439024390244, 'support': 29.0}, 'accuracy': 0.5208333333333334, 'macro avg': {'precision': 0.5972222222222222, 'recall': 0.5762250453720508, 'f1-score': 0.5104212860310421, 'support': 48.0}, 'weighted avg': {'precision': 0.6290509259259259, 'recall': 0.5208333333333334, 'f1-score': 0.49554693274205475, 'support': 48.0}}","[[16  3]
 [20  9]]"
11,10,128,8,0.2,0.001,128,5,3,0.37662337662337664,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
12,10,128,8,0.2,0.0005,64,2,2,0.3888888888888889,0.5,"{'0': {'precision': 0.2, 'recall': 0.05263157894736842, 'f1-score': 0.08333333333333333, 'support': 19.0}, '1': {'precision': 0.5813953488372093, 'recall': 0.8620689655172413, 'f1-score': 0.6944444444444444, 'support': 29.0}, 'accuracy': 0.5416666666666666, 'macro avg': {'precision': 0.3906976744186047, 'recall': 0.45735027223230484, 'f1-score': 0.3888888888888889, 'support': 48.0}, 'weighted avg': {'precision': 0.4304263565891473, 'recall': 0.5416666666666666, 'f1-score': 0.4525462962962963, 'support': 48.0}}","[[ 1 18]
 [ 4 25]]"
13,10,128,8,0.2,0.0005,64,2,3,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
14,10,128,8,0.2,0.0005,64,3,2,0.6039947894051237,0.5,"{'0': {'precision': 0.5, 'recall': 0.7368421052631579, 'f1-score': 0.5957446808510638, 'support': 19.0}, '1': {'precision': 0.75, 'recall': 0.5172413793103449, 'f1-score': 0.6122448979591837, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.625, 'recall': 0.6270417422867514, 'f1-score': 0.6039947894051237, 'support': 48.0}, 'weighted avg': {'precision': 0.6510416666666666, 'recall': 0.6041666666666666, 'f1-score': 0.6057135620205528, 'support': 48.0}}","[[14  5]
 [14 15]]"
15,10,128,8,0.2,0.0005,64,3,3,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
16,10,128,8,0.2,0.0005,64,5,2,0.4103194103194103,0.5,"{'0': {'precision': 0.3333333333333333, 'recall': 0.05263157894736842, 'f1-score': 0.09090909090909091, 'support': 19.0}, '1': {'precision': 0.6, 'recall': 0.9310344827586207, 'f1-score': 0.7297297297297297, 'support': 29.0}, 'accuracy': 0.5833333333333334, 'macro avg': {'precision': 0.4666666666666667, 'recall': 0.49183303085299457, 'f1-score': 0.4103194103194103, 'support': 48.0}, 'weighted avg': {'precision': 0.4944444444444444, 'recall': 0.5833333333333334, 'f1-score': 0.47686322686322685, 'support': 48.0}}","[[ 1 18]
 [ 2 27]]"
17,10,128,8,0.2,0.0005,64,5,3,0.37662337662337664,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
18,10,128,8,0.2,0.0005,128,2,2,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
19,10,128,8,0.2,0.0005,128,2,3,0.37662337662337664,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
20,10,128,8,0.2,0.0005,128,3,2,0.48121461657231085,0.5,"{'0': {'precision': 0.4, 'recall': 0.21052631578947367, 'f1-score': 0.27586206896551724, 'support': 19.0}, '1': {'precision': 0.6052631578947368, 'recall': 0.7931034482758621, 'f1-score': 0.6865671641791045, 'support': 29.0}, 'accuracy': 0.5625, 'macro avg': {'precision': 0.5026315789473684, 'recall': 0.5018148820326679, 'f1-score': 0.48121461657231085, 'support': 48.0}, 'weighted avg': {'precision': 0.5240131578947369, 'recall': 0.5625, 'f1-score': 0.5239963973237262, 'support': 48.0}}","[[ 4 15]
 [ 6 23]]"
21,10,128,8,0.2,0.0005,128,3,3,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
