,timesteps,units,second units,dropout,learning_rate,f1_score,threshold,best_report,confusion_matrix
0,20,128,32,0.2,0.001,0.4083916083916084,0.5,"{'0': {'precision': 0.3783783783783784, 'recall': 0.7777777777777778, 'f1-score': 0.509090909090909, 'support': 18.0}, '1': {'precision': 0.6, 'recall': 0.20689655172413793, 'f1-score': 0.3076923076923077, 'support': 29.0}, 'accuracy': 0.425531914893617, 'macro avg': {'precision': 0.4891891891891892, 'recall': 0.49233716475095785, 'f1-score': 0.4083916083916084, 'support': 47.0}, 'weighted avg': {'precision': 0.5151236342725704, 'recall': 0.425531914893617, 'f1-score': 0.38482368695134644, 'support': 47.0}}","[[14  4]
 [23  6]]"
1,20,128,32,0.2,0.0005,0.3815789473684211,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18.0}, '1': {'precision': 0.6170212765957447, 'recall': 1.0, 'f1-score': 0.7631578947368421, 'support': 29.0}, 'accuracy': 0.6170212765957447, 'macro avg': {'precision': 0.30851063829787234, 'recall': 0.5, 'f1-score': 0.3815789473684211, 'support': 47.0}, 'weighted avg': {'precision': 0.3807152557718425, 'recall': 0.6170212765957447, 'f1-score': 0.4708846584546473, 'support': 47.0}}","[[ 0 18]
 [ 0 29]]"
2,20,128,32,0.5,0.001,0.3815789473684211,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18.0}, '1': {'precision': 0.6170212765957447, 'recall': 1.0, 'f1-score': 0.7631578947368421, 'support': 29.0}, 'accuracy': 0.6170212765957447, 'macro avg': {'precision': 0.30851063829787234, 'recall': 0.5, 'f1-score': 0.3815789473684211, 'support': 47.0}, 'weighted avg': {'precision': 0.3807152557718425, 'recall': 0.6170212765957447, 'f1-score': 0.4708846584546473, 'support': 47.0}}","[[ 0 18]
 [ 0 29]]"
3,20,128,32,0.5,0.0005,0.3840725806451613,0.5,"{'0': {'precision': 0.4090909090909091, 'recall': 1.0, 'f1-score': 0.5806451612903226, 'support': 18.0}, '1': {'precision': 1.0, 'recall': 0.10344827586206896, 'f1-score': 0.1875, 'support': 29.0}, 'accuracy': 0.44680851063829785, 'macro avg': {'precision': 0.7045454545454546, 'recall': 0.5517241379310345, 'f1-score': 0.3840725806451613, 'support': 47.0}, 'weighted avg': {'precision': 0.7736943907156674, 'recall': 0.44680851063829785, 'f1-score': 0.3380662319835278, 'support': 47.0}}","[[18  0]
 [26  3]]"
4,20,128,16,0.2,0.001,0.27692307692307694,0.5,"{'0': {'precision': 0.3829787234042553, 'recall': 1.0, 'f1-score': 0.5538461538461539, 'support': 18.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3829787234042553, 'macro avg': {'precision': 0.19148936170212766, 'recall': 0.5, 'f1-score': 0.27692307692307694, 'support': 47.0}, 'weighted avg': {'precision': 0.1466727025803531, 'recall': 0.3829787234042553, 'f1-score': 0.21211129296235678, 'support': 47.0}}","[[18  0]
 [29  0]]"
5,20,128,16,0.2,0.0005,0.27692307692307694,0.5,"{'0': {'precision': 0.3829787234042553, 'recall': 1.0, 'f1-score': 0.5538461538461539, 'support': 18.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3829787234042553, 'macro avg': {'precision': 0.19148936170212766, 'recall': 0.5, 'f1-score': 0.27692307692307694, 'support': 47.0}, 'weighted avg': {'precision': 0.1466727025803531, 'recall': 0.3829787234042553, 'f1-score': 0.21211129296235678, 'support': 47.0}}","[[18  0]
 [29  0]]"
6,20,128,16,0.5,0.001,0.27692307692307694,0.5,"{'0': {'precision': 0.3829787234042553, 'recall': 1.0, 'f1-score': 0.5538461538461539, 'support': 18.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3829787234042553, 'macro avg': {'precision': 0.19148936170212766, 'recall': 0.5, 'f1-score': 0.27692307692307694, 'support': 47.0}, 'weighted avg': {'precision': 0.1466727025803531, 'recall': 0.3829787234042553, 'f1-score': 0.21211129296235678, 'support': 47.0}}","[[18  0]
 [29  0]]"
7,20,128,16,0.5,0.0005,0.5070679434564523,0.5,"{'0': {'precision': 0.42424242424242425, 'recall': 0.7777777777777778, 'f1-score': 0.5490196078431373, 'support': 18.0}, '1': {'precision': 0.7142857142857143, 'recall': 0.3448275862068966, 'f1-score': 0.46511627906976744, 'support': 29.0}, 'accuracy': 0.5106382978723404, 'macro avg': {'precision': 0.5692640692640693, 'recall': 0.5613026819923372, 'f1-score': 0.5070679434564523, 'support': 47.0}, 'weighted avg': {'precision': 0.6032053053329649, 'recall': 0.5106382978723404, 'f1-score': 0.4972494688127601, 'support': 47.0}}","[[14  4]
 [19 10]]"
8,20,64,32,0.2,0.001,0.6211474632527264,0.5,"{'0': {'precision': 0.5263157894736842, 'recall': 0.5555555555555556, 'f1-score': 0.5405405405405406, 'support': 18.0}, '1': {'precision': 0.7142857142857143, 'recall': 0.6896551724137931, 'f1-score': 0.7017543859649122, 'support': 29.0}, 'accuracy': 0.6382978723404256, 'macro avg': {'precision': 0.6203007518796992, 'recall': 0.6226053639846744, 'f1-score': 0.6211474632527264, 'support': 47.0}, 'weighted avg': {'precision': 0.6422972324428091, 'recall': 0.6382978723404256, 'f1-score': 0.6400129132491954, 'support': 47.0}}","[[10  8]
 [ 9 20]]"
9,20,64,32,0.2,0.0005,0.27692307692307694,0.5,"{'0': {'precision': 0.3829787234042553, 'recall': 1.0, 'f1-score': 0.5538461538461539, 'support': 18.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3829787234042553, 'macro avg': {'precision': 0.19148936170212766, 'recall': 0.5, 'f1-score': 0.27692307692307694, 'support': 47.0}, 'weighted avg': {'precision': 0.1466727025803531, 'recall': 0.3829787234042553, 'f1-score': 0.21211129296235678, 'support': 47.0}}","[[18  0]
 [29  0]]"
10,20,64,32,0.5,0.001,0.27692307692307694,0.5,"{'0': {'precision': 0.3829787234042553, 'recall': 1.0, 'f1-score': 0.5538461538461539, 'support': 18.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3829787234042553, 'macro avg': {'precision': 0.19148936170212766, 'recall': 0.5, 'f1-score': 0.27692307692307694, 'support': 47.0}, 'weighted avg': {'precision': 0.1466727025803531, 'recall': 0.3829787234042553, 'f1-score': 0.21211129296235678, 'support': 47.0}}","[[18  0]
 [29  0]]"
11,20,64,32,0.5,0.0005,0.45977011494252873,0.5,"{'0': {'precision': 0.425, 'recall': 0.9444444444444444, 'f1-score': 0.5862068965517241, 'support': 18.0}, '1': {'precision': 0.8571428571428571, 'recall': 0.20689655172413793, 'f1-score': 0.3333333333333333, 'support': 29.0}, 'accuracy': 0.48936170212765956, 'macro avg': {'precision': 0.6410714285714285, 'recall': 0.5756704980842912, 'f1-score': 0.45977011494252873, 'support': 47.0}, 'weighted avg': {'precision': 0.6916413373860182, 'recall': 0.48936170212765956, 'f1-score': 0.43017852775739784, 'support': 47.0}}","[[17  1]
 [23  6]]"
12,20,64,16,0.2,0.001,0.39836149513568864,0.5,"{'0': {'precision': 0.23076923076923078, 'recall': 0.16666666666666666, 'f1-score': 0.1935483870967742, 'support': 18.0}, '1': {'precision': 0.5588235294117647, 'recall': 0.6551724137931034, 'f1-score': 0.6031746031746031, 'support': 29.0}, 'accuracy': 0.46808510638297873, 'macro avg': {'precision': 0.3947963800904978, 'recall': 0.410919540229885, 'f1-score': 0.39836149513568864, 'support': 47.0}, 'weighted avg': {'precision': 0.4331857129103687, 'recall': 0.46808510638297873, 'f1-score': 0.44629647786820054, 'support': 47.0}}","[[ 3 15]
 [10 19]]"
13,20,64,16,0.2,0.0005,0.5695970695970696,0.5,"{'0': {'precision': 0.4583333333333333, 'recall': 0.6111111111111112, 'f1-score': 0.5238095238095238, 'support': 18.0}, '1': {'precision': 0.6956521739130435, 'recall': 0.5517241379310345, 'f1-score': 0.6153846153846154, 'support': 29.0}, 'accuracy': 0.574468085106383, 'macro avg': {'precision': 0.5769927536231884, 'recall': 0.5814176245210728, 'f1-score': 0.5695970695970696, 'support': 47.0}, 'weighted avg': {'precision': 0.6047641073080481, 'recall': 0.574468085106383, 'f1-score': 0.5803133037175591, 'support': 47.0}}","[[11  7]
 [13 16]]"
14,20,64,16,0.5,0.001,0.36959761549925485,0.5,"{'0': {'precision': 0.3953488372093023, 'recall': 0.9444444444444444, 'f1-score': 0.5573770491803278, 'support': 18.0}, '1': {'precision': 0.75, 'recall': 0.10344827586206896, 'f1-score': 0.18181818181818182, 'support': 29.0}, 'accuracy': 0.425531914893617, 'macro avg': {'precision': 0.5726744186046512, 'recall': 0.5239463601532567, 'f1-score': 0.36959761549925485, 'support': 47.0}, 'weighted avg': {'precision': 0.6141761504205838, 'recall': 0.425531914893617, 'f1-score': 0.32564923740368457, 'support': 47.0}}","[[17  1]
 [26  3]]"
15,20,64,16,0.5,0.0005,0.35023041474654376,0.5,"{'0': {'precision': 0.4, 'recall': 1.0, 'f1-score': 0.5714285714285714, 'support': 18.0}, '1': {'precision': 1.0, 'recall': 0.06896551724137931, 'f1-score': 0.12903225806451613, 'support': 29.0}, 'accuracy': 0.425531914893617, 'macro avg': {'precision': 0.7, 'recall': 0.5344827586206896, 'f1-score': 0.35023041474654376, 'support': 47.0}, 'weighted avg': {'precision': 0.7702127659574469, 'recall': 0.425531914893617, 'f1-score': 0.2984606333954309, 'support': 47.0}}","[[18  0]
 [27  2]]"
16,50,128,32,0.2,0.001,0.34545454545454546,0.5,"{'0': {'precision': 0.3783783783783784, 'recall': 0.7777777777777778, 'f1-score': 0.509090909090909, 'support': 18.0}, '1': {'precision': 0.42857142857142855, 'recall': 0.11538461538461539, 'f1-score': 0.18181818181818182, 'support': 26.0}, 'accuracy': 0.38636363636363635, 'macro avg': {'precision': 0.40347490347490345, 'recall': 0.4465811965811966, 'f1-score': 0.34545454545454546, 'support': 44.0}, 'weighted avg': {'precision': 0.408037908037908, 'recall': 0.38636363636363635, 'f1-score': 0.315702479338843, 'support': 44.0}}","[[14  4]
 [23  3]]"
17,50,128,32,0.2,0.0005,0.34545454545454546,0.5,"{'0': {'precision': 0.3783783783783784, 'recall': 0.7777777777777778, 'f1-score': 0.509090909090909, 'support': 18.0}, '1': {'precision': 0.42857142857142855, 'recall': 0.11538461538461539, 'f1-score': 0.18181818181818182, 'support': 26.0}, 'accuracy': 0.38636363636363635, 'macro avg': {'precision': 0.40347490347490345, 'recall': 0.4465811965811966, 'f1-score': 0.34545454545454546, 'support': 44.0}, 'weighted avg': {'precision': 0.408037908037908, 'recall': 0.38636363636363635, 'f1-score': 0.315702479338843, 'support': 44.0}}","[[14  4]
 [23  3]]"
18,50,128,32,0.5,0.001,0.36160714285714285,0.5,"{'0': {'precision': 0.39473684210526316, 'recall': 0.8333333333333334, 'f1-score': 0.5357142857142857, 'support': 18.0}, '1': {'precision': 0.5, 'recall': 0.11538461538461539, 'f1-score': 0.1875, 'support': 26.0}, 'accuracy': 0.4090909090909091, 'macro avg': {'precision': 0.4473684210526316, 'recall': 0.4743589743589744, 'f1-score': 0.36160714285714285, 'support': 44.0}, 'weighted avg': {'precision': 0.4569377990430622, 'recall': 0.4090909090909091, 'f1-score': 0.3299512987012987, 'support': 44.0}}","[[15  3]
 [23  3]]"
