,comment,likes,comment_published_at,video_title,video_published_at,video_url,month-year,lang,comment_sentiment
1281,Elon is like  Elizabeth Holmes on Steroids !,0,2024-04-02 06:52:21-04:00,Tesla Cybertruck was a REALLY BAD idea...,2023-11-07 07:11:54-05:00,https://www.youtube.com/watch?v=DnsvsF6HzY0,April-2024,en,-0.59071184694767
2750,"Omg! Guys, it’s not Twitter. It’s X!  Elon Musk is an Ego Maniac too! One of the Biggest Drug Addicted Jerks on the Planet! He just Doesn’t know when to Quit. I would Not ENEN Rent a Tesla 🥴",0,2024-04-20 11:51:35-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.8966456037014723
2758,Musk is a weirdo conman who somehow has a a legion of fans 😂,1,2024-04-19 06:07:25-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.806803391315043
2774,Biggest Jackass!,0,2024-04-17 11:46:58-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,sv,-0.9129910357296467
2597,Every video you make is a masterpiece. Keep 'em coming!,4,2024-04-02 15:02:28-04:00,Tesla Semi electric truck program update revealed by Tesla engineer,2024-04-02 07:45:04-04:00,https://www.youtube.com/watch?v=YVwR5cX5-1Y,April-2024,en,0.9731878782622516
2835,So that's why they changed to X...,0,2024-04-14 22:25:05-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,0.022233817726373672
2821,Does anyone know who the CEO of Lockheed Martin is? EXACTLY!,1,2024-04-15 12:45:42-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.26485057920217514
598,You are flying to te freedom with Tesla 3 LR,0,2024-04-14 16:08:51-04:00,2024 Tesla Model 3 Highland driving REVIEW,2023-10-27 07:00:09-04:00,https://www.youtube.com/watch?v=AKJwinM__nU,April-2024,en,0.7082141106948256
57,I lost interest when he took 3 minutes to tell you you can use your phone as a key,0,2024-04-27 01:47:52-04:00,Tesla Model Y Review 6 Months Later - A BIG REGRET?!,2023-09-12 09:14:40-04:00,https://www.youtube.com/watch?v=aYmdZWwr7gs,April-2024,en,-0.6944419573992491
2815,I’d buy a gas car again before I buy a Tesla.  I will not invest on a lunatic.,0,2024-04-15 16:53:28-04:00,Elon's Reputation is Hurting Tesla - TechNewsDay,2024-04-04 04:23:58-04:00,https://www.youtube.com/watch?v=oOoSE5vH8bk,April-2024,en,-0.727079451084137
2641,Earnings is not until mid April. Honestly this is going to be flat until then.,1,2024-04-01 21:27:21-04:00,"Tesla Stock Analysis | Top Levels and Signals for Tuesday, April 2nd, 2024",2024-04-01 17:12:36-04:00,https://www.youtube.com/watch?v=1SWLhXR8aKM,April-2024,en,-0.5177707336843014
